dev,cosine_similarity
cpw,0.13
LexManos,0.1
PaintNinja,0.07
JustRed23,0.06
Matyrobbrt,0.05
bconlon1,0.04
Shadows-of-Fire,0.03
Minecraftschurli,0.03
pupnewfster,0.03
ChampionAsh5357,0.02
