dev,cosine_similarity
Shadows-of-Fire,0.12
JustRed23,0.12
Minecraftschurli,0.11
LegoMaster3650,0.11
SizableShrimp,0.1
pupnewfster,0.1
PaintNinja,0.09
Jonathing,0.09
Matyrobbrt,0.09
RealMangorage,0.08
