dev,cosine_similarity
JustRed23,0.32
PaintNinja,0.26
Matyrobbrt,0.16
Shadows-of-Fire,0.09
pupnewfster,0.08
ChampionAsh5357,0.07
SizableShrimp,0.06
cpw,0.04
LexManos,0.03
RealMangorage,0
