dev,cosine_similarity
failall,0.18
JustRed23,0.13
Kovak,0.1
Jonathing,0.1
XFactHD,0.1
bconlon1,0.1
coehlrich,0.08
pupnewfster,0.07
SizableShrimp,0.06
Matyrobbrt,0.05
