dev,cosine_similarity
failall,0.31
JustRed23,0.21
Kovak,0.17
Jonathing,0.16
bconlon1,0.16
coehlrich,0.14
PaintNinja,0.12
XFactHD,0.11
Matyrobbrt,0.09
pupnewfster,0.07
