dev,cosine_similarity
JustRed23,0.18
Minecraftschurli,0.15
failall,0.13
Jonathing,0.13
bconlon1,0.13
Shadows-of-Fire,0.09
Kovak,0.07
SizableShrimp,0.07
coehlrich,0.06
PaintNinja,0.06
