dev,cosine_similarity
JustRed23,0.25
failall,0.19
Jonathing,0.19
bconlon1,0.19
ChampionAsh5357,0.12
Kovak,0.1
Matyrobbrt,0.09
coehlrich,0.08
Shadows-of-Fire,0.08
SizableShrimp,0.07
