dev,cosine_similarity
pupnewfster,0.08
SizableShrimp,0.05
LexManos,0.03
cpw,0.03
RealMangorage,0
coehlrich,0
Shadows-of-Fire,0
PaintNinja,0
failall,0
Kovak,0
