dev,cosine_similarity
JustRed23,0.14
Jonathing,0.1
bconlon1,0.1
Shadows-of-Fire,0.05
LexManos,0.04
cpw,0.04
Matyrobbrt,0.04
ChampionAsh5357,0.03
pupnewfster,0.03
SizableShrimp,0.02
