dev,cosine_similarity
LexManos,0.14
cpw,0.12
RealMangorage,0.08
Kovak,0.08
LegoMaster3650,0.08
Shadows-of-Fire,0.07
Jonathing,0.06
pupnewfster,0.06
ferriarnus,0.06
JustRed23,0.05
