dev,cosine_similarity
cpw,0.04
ChampionAsh5357,0.04
pupnewfster,0.04
LexManos,0.03
RealMangorage,0
coehlrich,0
Shadows-of-Fire,0
PaintNinja,0
failall,0
Kovak,0
