dev,cosine_similarity
LegoMaster3650,0.24
ferriarnus,0.17
RealMangorage,0.16
JustRed23,0.15
Minecraftschurli,0.13
Jonathing,0.11
Kovak,0.09
Shadows-of-Fire,0.07
ChampionAsh5357,0.07
pupnewfster,0.05
