dev,cosine_similarity
Jonathing,0.14
RealMangorage,0.1
LexManos,0.08
Kovak,0.08
cpw,0.08
coehlrich,0.06
Shadows-of-Fire,0.06
XFactHD,0.04
SizableShrimp,0.03
ChampionAsh5357,0.02
