dev,cosine_similarity
Shadows-of-Fire,0.07
JustRed23,0.07
Jonathing,0.06
bconlon1,0.06
LexManos,0.03
cpw,0.03
ChampionAsh5357,0.03
XFactHD,0.02
pupnewfster,0.02
Matyrobbrt,0.02
