dev,cosine_similarity
ferriarnus,0.23
Jonathing,0.15
XFactHD,0.06
ChampionAsh5357,0.05
pupnewfster,0.05
LexManos,0.04
cpw,0.03
SizableShrimp,0.02
RealMangorage,0
coehlrich,0
