dev,cosine_similarity
JustRed23,0.09
PaintNinja,0.07
ChampionAsh5357,0.07
SizableShrimp,0.04
Matyrobbrt,0.04
cpw,0.03
Shadows-of-Fire,0.02
LexManos,0.02
pupnewfster,0.02
RealMangorage,0
