dev,cosine_similarity
RealMangorage,0.06
LexManos,0.06
cpw,0.06
Kovak,0.05
Minecraftschurli,0.05
Shadows-of-Fire,0.04
Jonathing,0.04
coehlrich,0.03
SizableShrimp,0.02
XFactHD,0.02
