dev,cosine_similarity
Shadows-of-Fire,0.11
JustRed23,0.11
LexManos,0.08
cpw,0.08
Jonathing,0.08
bconlon1,0.08
pupnewfster,0.06
SizableShrimp,0.03
Matyrobbrt,0.03
ChampionAsh5357,0.02
