dev,cosine_similarity
LexManos,0.08
cpw,0.08
Shadows-of-Fire,0.06
pupnewfster,0.03
SizableShrimp,0.01
RealMangorage,0
coehlrich,0
PaintNinja,0
failall,0
Kovak,0
