dev,cosine_similarity
JustRed23,0.2
Tkain,0.12
SizableShrimp,0.12
Jonathing,0.11
pupnewfster,0.11
XFactHD,0.1
Shadows-of-Fire,0.09
LexManos,0.08
cpw,0.08
coehlrich,0.07
