dev,cosine_similarity
Jonathing,0.29
JustRed23,0.24
ferriarnus,0.19
pupnewfster,0.14
ChampionAsh5357,0.13
LegoMaster3650,0.13
XFactHD,0.12
Minecraftschurli,0.11
RealMangorage,0.09
Shadows-of-Fire,0.09
