dev,cosine_similarity
failall,0.16
JustRed23,0.11
Kovak,0.09
Jonathing,0.09
bconlon1,0.08
coehlrich,0.07
XFactHD,0.06
ChampionAsh5357,0.05
SizableShrimp,0.05
pupnewfster,0.05
