dev,cosine_similarity
cpw,0.52
LexManos,0.51
Shadows-of-Fire,0.09
SizableShrimp,0.08
pupnewfster,0.06
JustRed23,0.05
Jonathing,0.05
ChampionAsh5357,0.04
LegoMaster3650,0.04
RealMangorage,0.03
