dev,cosine_similarity
LegoMaster3650,0.26
Jonathing,0.19
JustRed23,0.18
Shadows-of-Fire,0.15
RealMangorage,0.09
ferriarnus,0.09
LexManos,0.08
cpw,0.08
bconlon1,0.08
Minecraftschurli,0.07
