dev,cosine_similarity
RealMangorage,0.15
Kovak,0.12
Jonathing,0.1
coehlrich,0.09
LexManos,0.06
XFactHD,0.06
Shadows-of-Fire,0.05
cpw,0.05
ChampionAsh5357,0.03
SizableShrimp,0.03
