dev,cosine_similarity
LegoMaster3650,0.26
ferriarnus,0.19
RealMangorage,0.18
JustRed23,0.16
Minecraftschurli,0.14
Jonathing,0.12
Kovak,0.1
Shadows-of-Fire,0.08
pupnewfster,0.05
Matyrobbrt,0.05
