dev,cosine_similarity
bconlon1,0.08
ChampionAsh5357,0.05
pupnewfster,0.05
Matyrobbrt,0.03
LexManos,0.02
SizableShrimp,0.02
RealMangorage,0
coehlrich,0
Shadows-of-Fire,0
PaintNinja,0
