dev,cosine_similarity
Shadows-of-Fire,0.14
SizableShrimp,0.05
LexManos,0.04
cpw,0.04
pupnewfster,0.04
RealMangorage,0
coehlrich,0
PaintNinja,0
failall,0
Kovak,0
