dev,cosine_similarity
pupnewfster,0.17
Shadows-of-Fire,0.14
ChampionAsh5357,0.14
SizableShrimp,0.14
Kovak,0.13
JustRed23,0.12
Matyrobbrt,0.11
Jonathing,0.1
coehlrich,0.09
Minecraftschurli,0.08
