login;commits;percentage
straight-shoota;272;2.4615384615384617
makenowjust;305;2.760180995475113
bcardiff;321;2.9049773755656108
jhass;414;3.746606334841629
waj;710;6.4253393665158365
asterite;6870;62.171945701357465
