dev,cosine_similarity
oprypin,0.18
Blacksmoke16,0.15
j8r,0.13
wooster0,0.08
straight-shoota,0.06
bcardiff,0.04
jhass,0.04
asterite,0.03
lbguilherme,0
sam0x17,0
