dev,cosine_similarity
mimame,0.45
hutou,0.45
KarthikMAM,0.32
igor-alexandrov,0.27
icy-arctic-fox,0.22
j8r,0.16
ffwff,0.14
firejox,0.13
makenowjust,0.13
bcardiff,0.12
