dev,cosine_similarity
mimame,0.72
hutou,0.72
KarthikMAM,0.51
igor-alexandrov,0.44
icy-arctic-fox,0.35
j8r,0.17
wooster0,0.15
straight-shoota,0.11
ysbaddaden,0.11
firejox,0.11
