dev,cosine_similarity
jan-zajic,0.22
oprypin,0.16
straight-shoota,0.15
jhass,0.14
makenowjust,0.13
ysbaddaden,0.12
j8r,0.11
wooster0,0.11
RX14,0.11
waj,0.1
