dev,cosine_similarity
snluu,0.41
ayazhafiz,0.23
wooster0,0.23
didactic-drunk,0.22
lbguilherme,0.19
carlhoerberg,0.19
straight-shoota,0.17
jhass,0.17
KarthikMAM,0.16
RX14,0.15
