dev,cosine_similarity
snluu,0.34
didactic-drunk,0.21
carlhoerberg,0.18
wooster0,0.16
bcardiff,0.13
j8r,0.13
jhass,0.13
asterite,0.11
straight-shoota,0.09
makenowjust,0.09
