dev,cosine_similarity
KarthikMAM,0.74
j8r,0.18
makenowjust,0.11
jhass,0.09
waj,0.08
oprypin,0.07
bcardiff,0.06
wooster0,0.06
asterite,0.06
jkthorne,0.06
