dev,cosine_similarity
jkthorne,0.11
makenowjust,0.07
jhass,0.06
straight-shoota,0.04
ysbaddaden,0.04
asterite,0.04
lbguilherme,0
sam0x17,0
cserb,0
katafrakt,0
