dev,cosine_similarity
TedTran2019,0.23
makenowjust,0.18
sam0x17,0.16
jhass,0.15
jan-zajic,0.15
straight-shoota,0.14
ysbaddaden,0.13
wooster0,0.12
asterite,0.11
RX14,0.1
