dev,cosine_similarity
jhass,0.09
jkthorne,0.09
wooster0,0.05
straight-shoota,0.04
RX14,0.04
asterite,0.04
ysbaddaden,0.03
makenowjust,0.03
lbguilherme,0
sam0x17,0
