dev,cosine_similarity
firejox,0.27
ilanpillemer,0.19
makenowjust,0.19
j8r,0.18
wooster0,0.13
bcardiff,0.12
jhass,0.12
asterite,0.11
jan-zajic,0.1
straight-shoota,0.09
