dev,cosine_similarity
oprypin,0.26
Blacksmoke16,0.2
straight-shoota,0.15
asterite,0.12
bcardiff,0.11
wooster0,0.11
j8r,0.09
makenowjust,0.08
jhass,0.08
jan-zajic,0.05
