dev,cosine_similarity
jkthorne,0.17
wooster0,0.13
ysbaddaden,0.06
bcardiff,0.05
asterite,0.01
lbguilherme,0
straight-shoota,0
sam0x17,0
cserb,0
katafrakt,0
