dev,cosine_similarity
j8r,0.09
oprypin,0.09
straight-shoota,0.08
bcardiff,0.08
jhass,0.08
RX14,0.08
jkthorne,0.08
makenowjust,0.04
asterite,0.04
lbguilherme,0
