dev,cosine_similarity
TedTran2019,0.2
makenowjust,0.18
straight-shoota,0.17
oprypin,0.17
jhass,0.17
ilanpillemer,0.16
bcardiff,0.15
firejox,0.13
wooster0,0.13
j8r,0.12
