dev,cosine_similarity
jwbuiter,0.69
bcardiff,0.09
jkthorne,0.07
wooster0,0.05
makenowjust,0.03
asterite,0.03
lbguilherme,0
straight-shoota,0
sam0x17,0
cserb,0
