dev,cosine_similarity
TedTran2019,0.55
snluu,0.41
didactic-drunk,0.25
carlhoerberg,0.21
jan-zajic,0.19
jhass,0.13
straight-shoota,0.12
bcardiff,0.11
wooster0,0.11
asterite,0.1
