dev,cosine_similarity
igor-alexandrov,0.51
jkthorne,0.11
wooster0,0.08
makenowjust,0.05
waj,0.05
jhass,0.04
asterite,0.04
lbguilherme,0
straight-shoota,0
sam0x17,0
