dev,cosine_similarity
KarthikMAM,0.28
mimame,0.26
hutou,0.26
bcardiff,0.24
asterite,0.23
makenowjust,0.22
j8r,0.21
jhass,0.19
wooster0,0.19
RX14,0.19
