dev,cosine_similarity
martimatix,0.16
j8r,0.13
bcardiff,0.11
oprypin,0.11
jhass,0.11
asterite,0.11
makenowjust,0.1
RX14,0.1
ysbaddaden,0.09
straight-shoota,0.06
