dev,cosine_similarity
sam0x17,0.47
rdp,0.29
carlhoerberg,0.26
jhass,0.18
ysbaddaden,0.14
straight-shoota,0.12
Blacksmoke16,0.12
bcardiff,0.1
RX14,0.1
waj,0.08
