sha;author_id;date
47ef253d2858a5246d9d4e9e80c2a4ce69c57a27;LexManos;2018-07-18 22:33:40
ffed77a4c2f4957f670d5aacbef268a4c2043a3a;LexManos;2018-07-18 22:48:18
3b4f724929618d3e71e76bd2ad70fec7867859cd;LexManos;2018-07-25 19:13:56
d3300f2f20cd5bdf4a2c60dafcc79f05679273ad;LexManos;2018-08-22 23:02:43
12cce735cb51145b70bc4860f8ed15e55f5d02d3;LexManos;2018-08-29 07:42:09
6bd0b605e204f7a7fe71526c8f6deb1819285557;LexManos;2019-04-17 22:41:50
57c80aa6149c918e1bb368ad715b32714c07deed;LexManos;2019-05-06 18:36:20
bf325a73d08a66f1b2463d5b9cb8da77c076c0c2;LexManos;2019-05-06 22:52:51
1989a59fbf9b9d12fc41fb62e280891d33848581;LexManos;2019-08-14 20:57:02
df06e8d74fac65a11b0c878ee4a1bfb13925a3d6;cpw;2019-08-29 20:15:28
14449118f59614450346336ec846030ccce86602;cpw;2019-08-29 21:20:53
49224f5961cd146b6696a0bf2c772de0e46c4853;LexManos;2019-09-20 18:53:24
33d79c342a7a9f3bb13bf1829533c4f6dd628643;LexManos;2020-02-20 23:06:09
a53baad333702196e0a6369113d2f46c376b76a0;LexManos;2020-02-20 23:17:05
1b4165b71b906931a10376ddb24384407d4d613b;LexManos;2020-02-20 23:25:29
e7df46defc46b6e94b6c2761cb42f3ac6f8a3be1;LexManos;2020-04-02 01:09:31
4a4658b006c17e5d4efb575c40ff0b444cd0afd1;LexManos;2020-06-24 02:22:03
ac071b725d90442294dbdca1d04167f2e8abbd8a;sciwhiz12;2021-05-27 22:13:54
078d442172793240212a46986535e3ea65864789;Cyborgmas;2021-06-01 22:52:39
1a4316a6eabbf0079be75549dd6476821024ec5c;zml2008;2021-07-13 21:32:09
1fa2374b317fb88272aaffece8d8545bcd6dfcd5;SizableShrimp;2022-04-05 02:52:24
5d33691b8a90e71f87cf9c91a973946de1ed8998;SizableShrimp;2023-04-02 10:52:34
d5bb822feb0413d379bff15c9535fb66ab1560b9;Su5eD;2023-05-10 20:54:50
d004e04fbc1d15a68c5b06d45252541ac770562e;LexManos;2023-07-31 23:31:36
