LexManos;49;29;533;842;612;0.006535947712418301
JDLogic;7;1405;8;0.25
sciwhiz12;842;1;1.0
marchermans;5;568;6;0.3333333333333333
Bricktricker;841;1;1.0
Cyborgmas;223;911;224;0.008928571428571428
